timestamp,bt_navigator,amcl,map_server,controller_server,smoother_server,planner_server,behavior_server,velocity_smoother
2025-06-20T19:25:29.018301,16.0,8.0,5.0,12.0,7.0,11.0,10.0,7.0
2025-06-20T19:25:30.021504,17.9,9.0,5.0,10.0,7.0,10.0,9.0,6.0
2025-06-20T19:25:31.022568,16.0,8.0,5.0,12.0,8.0,10.0,9.0,6.0
2025-06-20T19:25:32.024319,17.0,7.0,6.0,10.0,7.0,10.0,10.0,6.0
2025-06-20T19:25:33.024827,17.0,9.0,5.0,12.0,8.0,10.0,10.0,5.0
2025-06-20T19:25:34.025450,17.0,8.0,5.0,10.0,7.0,11.0,8.0,6.0
2025-06-20T19:25:35.026122,16.0,7.0,6.0,11.0,7.0,10.0,9.0,5.0
2025-06-20T19:25:36.026734,17.0,9.0,4.0,12.0,7.0,9.0,9.0,7.0
2025-06-20T19:25:37.027248,17.0,8.0,6.0,10.0,8.0,11.0,10.0,6.0
2025-06-20T19:25:38.027815,17.0,8.0,5.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T19:25:39.028413,17.0,9.0,6.0,12.0,7.0,10.0,9.0,5.0
2025-06-20T19:25:40.029090,17.0,7.0,5.0,10.0,8.0,10.0,10.0,6.0
2025-06-20T19:25:41.030555,17.0,8.0,5.0,12.0,7.0,12.0,9.0,5.0
2025-06-20T19:25:42.031991,16.0,9.0,6.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:25:43.033903,17.0,8.0,4.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:25:44.036332,16.0,9.0,6.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T19:25:45.037498,18.0,8.0,5.0,12.0,8.0,10.0,9.0,6.0
2025-06-20T19:25:46.039639,16.0,9.0,5.0,10.0,7.0,11.0,9.0,6.0
2025-06-20T19:25:47.040159,16.0,7.0,6.0,11.0,7.0,10.0,10.0,7.0
2025-06-20T19:25:48.040620,18.0,9.0,5.0,12.0,8.0,10.0,9.0,6.0
2025-06-20T19:25:49.041095,17.0,7.0,6.0,10.0,7.0,11.0,10.0,5.0
2025-06-20T19:25:50.041724,16.0,8.0,5.0,12.0,7.0,10.0,9.0,6.0
2025-06-20T19:25:51.043021,17.0,9.0,6.0,11.0,8.0,11.0,10.0,6.0
2025-06-20T19:25:52.044611,17.0,7.0,4.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:25:53.045148,16.0,9.0,6.0,11.0,7.0,10.0,10.0,5.0
2025-06-20T19:25:54.047843,18.9,8.0,5.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T19:25:55.048498,16.0,8.0,6.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T19:25:56.048997,17.0,8.0,5.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T19:25:57.049812,17.0,9.0,5.0,12.0,7.0,10.0,9.0,6.0
2025-06-20T19:25:58.050906,16.0,7.0,6.0,10.0,7.0,10.0,9.0,6.0
2025-06-20T19:25:59.051436,18.0,8.0,5.0,12.0,9.0,10.0,10.0,5.0
2025-06-20T19:26:00.051905,16.0,8.0,6.0,10.0,7.0,11.0,9.0,7.0
2025-06-20T19:26:01.053027,17.0,8.0,5.0,12.0,8.0,10.0,10.0,5.0
2025-06-20T19:26:02.053849,16.0,8.0,5.0,12.0,7.0,10.0,9.0,6.0
2025-06-20T19:26:03.054686,18.0,9.0,6.0,11.0,8.0,10.0,9.0,7.0
2025-06-20T19:26:04.056491,17.0,7.0,4.0,11.0,7.0,11.0,10.0,5.0
2025-06-20T19:26:05.058116,16.0,8.0,6.0,10.0,7.0,11.0,9.0,6.0
2025-06-20T19:26:06.058623,17.0,8.0,6.0,12.0,8.0,9.0,10.0,6.0
2025-06-20T19:26:07.059064,17.0,9.0,4.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:26:08.060686,16.0,7.0,6.0,11.0,6.0,10.0,10.0,6.0
2025-06-20T19:26:09.061516,17.0,8.0,6.0,10.0,8.0,10.0,9.0,6.0
2025-06-20T19:26:10.062865,16.0,9.0,5.0,12.0,7.0,11.0,9.0,5.0
2025-06-20T19:26:11.063922,17.0,7.0,5.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T19:26:12.065378,16.0,8.0,5.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T19:26:13.066209,17.0,8.0,6.0,12.0,8.0,11.0,9.0,6.0
2025-06-20T19:26:14.067228,16.0,8.0,4.0,10.0,7.0,11.0,9.0,5.0
2025-06-20T19:26:15.068168,18.0,9.0,6.0,12.0,7.0,10.0,10.0,7.0
2025-06-20T19:26:16.068848,16.0,7.0,5.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:26:17.069944,16.0,7.0,5.0,11.0,7.0,10.0,10.0,5.0
2025-06-20T19:26:18.070421,17.0,10.0,6.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T19:26:19.071868,17.0,7.0,5.0,11.0,8.0,10.0,9.0,7.0
2025-06-20T19:26:20.072941,16.0,8.0,6.0,12.0,7.0,10.0,9.0,5.0
2025-06-20T19:26:21.073401,17.0,8.0,4.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T19:26:22.074013,16.0,7.0,6.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T19:26:23.074619,16.0,9.0,6.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T19:26:24.075640,17.0,8.0,5.0,11.0,8.0,10.0,10.0,5.0
2025-06-20T19:26:25.078842,15.9,8.0,5.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:26:26.080250,17.0,8.0,5.0,11.0,8.0,11.0,10.0,6.0
2025-06-20T19:26:27.080935,17.0,8.0,6.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:26:28.081912,16.0,8.0,5.0,11.0,7.0,10.0,9.0,5.0
2025-06-20T19:26:29.083199,16.0,7.0,5.0,11.0,7.0,10.0,9.0,7.0
2025-06-20T19:26:30.085520,17.0,9.0,6.0,11.0,8.0,10.0,11.0,6.0
2025-06-20T19:26:31.086097,16.0,8.0,5.0,12.0,7.0,11.0,9.0,5.0
2025-06-20T19:26:32.086576,17.0,7.0,5.0,10.0,8.0,10.0,9.0,6.0
2025-06-20T19:26:33.087206,17.0,9.0,5.0,12.0,7.0,10.0,10.0,6.0
2025-06-20T19:26:34.088106,16.0,8.0,6.0,10.0,7.0,11.0,8.0,6.0
2025-06-20T19:26:35.090477,17.0,9.0,4.0,12.0,8.0,10.0,10.0,6.0
2025-06-20T19:26:36.096190,14.9,6.0,6.0,9.9,6.0,9.9,8.9,6.0
2025-06-20T19:26:37.098902,16.0,8.0,5.0,11.0,7.0,9.0,9.0,5.0
2025-06-20T19:26:38.099501,17.0,8.0,5.0,10.0,7.0,10.0,9.0,6.0
2025-06-20T19:26:39.101584,15.0,7.0,5.0,11.0,8.0,9.0,9.0,6.0
2025-06-20T19:26:40.103468,17.0,8.0,5.0,11.0,7.0,10.0,9.0,5.0
2025-06-20T19:26:41.104947,16.0,8.0,6.0,11.0,8.0,11.0,9.0,6.0
2025-06-20T19:26:42.105618,17.0,8.0,5.0,11.0,7.0,9.0,9.0,6.0
2025-06-20T19:26:43.106150,16.0,8.0,5.0,10.0,7.0,11.0,9.0,6.0
2025-06-20T19:26:44.107880,17.0,8.0,5.0,12.0,7.0,10.0,10.0,6.0
2025-06-20T19:26:45.108699,16.0,8.0,6.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:26:46.110544,16.0,8.0,5.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T19:26:47.111113,15.0,9.0,5.0,10.0,8.0,9.0,9.0,6.0
2025-06-20T19:26:48.111864,15.0,8.0,6.0,10.0,7.0,10.0,11.0,6.0
2025-06-20T19:26:49.114185,15.0,9.0,6.0,11.0,7.0,9.0,10.0,5.0
2025-06-20T19:26:50.115194,17.0,9.0,4.0,10.0,8.0,11.0,9.0,6.0
2025-06-20T19:26:51.116771,16.0,7.0,7.0,11.0,8.0,10.0,9.0,7.0
2025-06-20T19:26:52.117729,16.0,8.0,4.0,11.0,7.0,11.0,10.0,5.0
2025-06-20T19:26:53.119573,17.0,8.0,6.0,11.0,8.0,10.0,9.0,5.0
2025-06-20T19:26:54.120497,16.0,9.0,5.0,11.0,7.0,11.0,9.0,7.0
2025-06-20T19:26:55.121103,16.0,7.0,5.0,11.0,7.0,9.0,10.0,5.0
2025-06-20T19:26:56.122051,18.0,9.0,6.0,11.0,8.0,11.0,9.0,6.0
2025-06-20T19:26:57.122745,16.0,8.0,5.0,11.0,7.0,10.0,10.0,7.0
2025-06-20T19:26:58.123247,16.0,7.0,4.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:26:59.126150,16.0,8.0,6.0,11.0,8.0,11.0,9.0,6.0
2025-06-20T19:27:00.126960,17.0,9.0,6.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:27:01.128001,16.0,7.0,5.0,11.0,7.0,9.0,9.0,5.0
2025-06-20T19:27:02.129938,16.0,8.0,5.0,12.0,7.0,10.0,11.0,6.0
2025-06-20T19:27:03.134069,16.9,8.0,6.0,10.0,8.0,11.0,9.0,7.0
2025-06-20T19:27:04.134998,17.0,7.0,5.0,11.0,7.0,10.0,9.0,5.0
2025-06-20T19:27:05.135462,15.0,8.0,5.0,12.0,7.0,11.0,10.0,6.0
2025-06-20T19:27:06.137290,17.0,8.0,5.0,11.0,9.0,10.0,9.0,6.0
2025-06-20T19:27:07.139048,16.0,8.0,5.0,10.0,6.0,10.0,9.0,6.0
2025-06-20T19:27:08.139610,16.0,8.0,6.0,11.0,8.0,11.0,10.0,6.0
2025-06-20T19:27:09.140493,17.0,8.0,5.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:27:10.141642,17.0,9.0,6.0,12.0,7.0,10.0,10.0,6.0
2025-06-20T19:27:11.143158,17.0,7.0,5.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T19:27:12.143923,16.0,8.0,5.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T19:27:13.144826,16.0,8.0,5.0,11.0,7.0,10.0,9.0,5.0
2025-06-20T19:27:14.146543,16.0,8.0,5.0,12.0,8.0,11.0,10.0,6.0
2025-06-20T19:27:15.149065,18.0,9.0,6.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T19:27:16.150119,16.0,8.0,5.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:27:17.151349,17.0,8.0,6.0,11.0,7.0,12.0,9.0,6.0
2025-06-20T19:27:18.152220,16.0,8.0,5.0,12.0,8.0,9.0,10.0,6.0
2025-06-20T19:27:19.154999,16.0,8.0,5.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T19:27:20.156673,17.0,8.0,5.0,11.0,8.0,11.0,10.0,6.0
2025-06-20T19:27:21.158698,17.0,7.0,6.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:27:22.160182,15.0,9.0,5.0,11.0,8.0,10.0,9.0,5.0
2025-06-20T19:27:23.160846,16.0,7.0,5.0,11.0,7.0,10.0,10.0,7.0
2025-06-20T19:27:24.161316,17.0,8.0,5.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:27:25.162343,15.0,8.0,5.0,12.0,6.0,10.0,10.0,5.0
2025-06-20T19:27:26.162830,17.0,8.0,6.0,10.0,8.0,10.0,9.0,6.0
2025-06-20T19:27:27.163465,16.0,9.0,5.0,12.0,8.0,11.0,10.0,6.0
2025-06-20T19:27:28.167637,15.9,7.0,6.0,10.0,7.0,10.0,9.0,6.0
2025-06-20T19:27:29.170654,16.0,8.0,5.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:27:30.171084,16.0,8.0,5.0,11.0,8.0,11.0,10.0,6.0
2025-06-20T19:27:31.171544,16.0,8.0,5.0,11.0,6.0,9.0,10.0,6.0
2025-06-20T19:27:32.172493,17.0,8.0,5.0,11.0,8.0,10.0,9.0,5.0
2025-06-20T19:27:33.174613,15.0,8.0,6.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T19:27:34.175982,16.0,8.0,5.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T19:27:35.176791,16.0,7.0,6.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T19:27:36.177915,16.0,8.0,5.0,11.0,7.0,9.0,9.0,6.0
2025-06-20T19:27:37.178420,16.0,8.0,5.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:27:38.179907,16.0,8.0,5.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T19:27:39.181615,16.0,8.0,6.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:27:40.182869,17.0,7.0,5.0,11.0,8.0,11.0,9.0,6.0
2025-06-20T19:27:41.183379,15.0,9.0,5.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T19:27:42.183968,17.0,7.0,5.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T19:27:43.184520,16.0,9.0,6.0,11.0,8.0,10.0,9.0,5.0
2025-06-20T19:27:44.184983,16.0,7.0,5.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:27:45.186383,17.0,8.0,5.0,12.0,8.0,10.0,9.0,7.0
2025-06-20T19:27:46.187619,14.0,8.0,6.0,9.0,7.0,10.0,10.0,5.0
2025-06-20T19:27:47.188133,15.0,7.0,5.0,10.0,8.0,9.0,10.0,5.0
2025-06-20T19:27:48.188636,15.0,9.0,6.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:27:49.192126,14.0,7.0,4.0,9.0,7.0,10.0,10.0,5.0
2025-06-20T19:27:50.192819,15.0,9.0,5.0,10.0,8.0,9.0,10.0,5.0
2025-06-20T19:27:51.193313,15.0,7.0,6.0,10.0,8.0,10.0,9.0,6.0
2025-06-20T19:27:52.194348,15.0,8.0,5.0,11.0,7.0,10.0,10.0,5.0
