timestamp,bt_navigator,map_server,amcl,controller_server,smoother_server,planner_server,behavior_server,velocity_smoother
2025-06-20T17:00:44.350280,16.9,5.0,8.0,19.9,7.0,10.0,10.0,7.0
2025-06-20T17:00:45.350886,15.0,5.0,8.0,21.0,8.0,9.0,9.0,4.0
2025-06-20T17:00:46.351475,17.0,5.0,8.0,21.0,7.0,10.0,10.0,6.0
2025-06-20T17:00:47.353533,16.0,5.0,7.0,19.9,7.0,10.0,9.0,6.0
2025-06-20T17:00:48.355451,16.0,5.0,9.0,21.0,7.0,10.0,9.0,5.0
2025-06-20T17:00:49.357259,15.0,5.0,7.0,19.0,7.0,9.0,9.0,5.0
2025-06-20T17:00:50.358339,18.0,5.0,8.0,21.0,7.0,10.0,9.0,6.0
2025-06-20T17:00:51.359727,16.0,5.0,7.0,20.0,7.0,10.0,9.0,6.0
2025-06-20T17:00:52.361185,16.0,5.0,9.0,21.0,7.0,10.0,10.0,5.0
2025-06-20T17:00:53.361626,16.0,5.0,8.0,21.0,7.0,9.0,9.0,6.0
2025-06-20T17:00:54.363199,17.0,5.0,7.0,20.0,8.0,11.0,9.0,5.0
2025-06-20T17:00:55.364047,16.0,5.0,8.0,21.0,7.0,9.0,9.0,6.0
2025-06-20T17:00:56.364840,17.0,5.0,7.0,22.0,7.0,11.0,10.0,6.0
2025-06-20T17:00:57.365290,15.0,5.0,8.0,20.0,7.0,9.0,10.0,5.0
2025-06-20T17:00:58.366448,17.0,5.0,7.0,21.0,7.0,11.0,9.0,6.0
2025-06-20T17:00:59.367283,16.0,5.0,9.0,20.0,8.0,9.0,9.0,5.0
2025-06-20T17:01:00.369411,17.0,5.0,7.0,22.0,6.0,10.0,9.0,6.0
2025-06-20T17:01:01.370870,16.0,5.0,7.0,19.0,8.0,10.0,10.0,5.0
2025-06-20T17:01:02.372293,16.0,5.0,8.0,21.0,6.0,10.0,10.0,6.0
2025-06-20T17:01:03.373188,16.0,5.0,8.0,19.0,8.0,10.0,9.0,6.0
2025-06-20T17:01:04.373735,16.0,5.0,8.0,20.0,6.0,10.0,9.0,5.0
2025-06-20T17:01:05.374273,16.0,5.0,7.0,20.0,7.0,9.0,10.0,6.0
2025-06-20T17:01:06.374935,16.0,5.0,8.0,20.0,8.0,11.0,9.0,5.0
2025-06-20T17:01:07.376341,16.0,5.0,7.0,19.0,7.0,9.0,9.0,6.0
2025-06-20T17:01:08.376954,16.0,5.0,8.0,20.0,7.0,11.0,10.0,6.0
2025-06-20T17:01:09.377509,17.0,6.0,8.0,21.0,7.0,9.0,8.0,5.0
2025-06-20T17:01:10.378116,16.0,5.0,7.0,20.0,7.0,11.0,10.0,6.0
2025-06-20T17:01:11.378678,16.0,5.0,8.0,18.9,7.0,9.0,10.0,5.0
2025-06-20T17:01:12.382602,15.9,5.0,7.0,20.9,8.0,10.0,9.0,6.0
2025-06-20T17:01:13.385072,17.0,5.0,9.0,20.0,7.0,10.0,10.0,6.0
2025-06-20T17:01:14.386180,16.0,5.0,7.0,20.0,7.0,10.0,9.0,5.0
2025-06-20T17:01:15.388875,17.0,5.0,8.0,19.9,7.0,10.0,9.0,6.0
2025-06-20T17:01:16.390531,16.0,5.0,8.0,19.0,7.0,10.0,10.0,6.0
2025-06-20T17:01:17.393611,16.0,5.0,7.0,19.9,7.0,10.0,9.0,5.0
2025-06-20T17:01:18.395555,16.0,6.0,8.0,19.0,7.0,10.0,9.0,6.0
2025-06-20T17:01:19.396367,16.0,4.0,7.0,20.0,8.0,10.0,9.0,6.0
2025-06-20T17:01:20.396943,16.0,6.0,9.0,21.0,7.0,10.0,11.0,5.0
2025-06-20T17:01:21.397511,17.0,5.0,6.0,19.0,7.0,11.0,8.0,5.0
2025-06-20T17:01:22.399250,16.0,4.0,8.0,21.0,7.0,9.0,10.0,6.0
2025-06-20T17:01:23.399801,15.0,6.0,8.0,19.0,7.0,10.0,10.0,6.0
2025-06-20T17:01:24.401441,17.0,5.0,8.0,20.0,8.0,10.0,9.0,5.0
2025-06-20T17:01:25.402304,17.0,4.0,8.0,19.0,7.0,10.0,9.0,6.0
2025-06-20T17:01:26.403443,16.0,6.0,8.0,21.0,7.0,11.0,10.0,6.0
2025-06-20T17:01:27.403996,15.0,5.0,7.0,19.0,7.0,9.0,9.0,5.0
2025-06-20T17:01:28.404477,16.0,4.0,8.0,20.0,7.0,9.0,9.0,6.0
2025-06-20T17:01:29.405880,17.0,6.0,8.0,20.0,7.0,10.0,10.0,5.0
2025-06-20T17:01:30.406513,16.0,5.0,7.0,19.0,7.0,11.0,9.0,6.0
2025-06-20T17:01:31.407765,15.0,4.0,8.0,20.0,7.0,10.0,8.0,5.0
2025-06-20T17:01:32.408787,16.0,6.0,7.0,20.0,7.0,9.0,10.0,6.0
2025-06-20T17:01:33.409283,16.0,4.0,8.0,19.0,7.0,10.0,9.0,5.0
2025-06-20T17:01:34.410179,15.0,6.0,8.0,19.0,7.0,10.0,9.0,5.0
2025-06-20T17:01:35.411723,16.0,5.0,7.0,20.0,7.0,9.0,9.0,6.0
2025-06-20T17:01:36.414893,16.0,5.0,7.0,19.9,7.0,8.0,10.0,6.0
2025-06-20T17:01:37.415486,16.0,4.0,7.0,19.0,6.0,9.0,8.0,5.0
2025-06-20T17:01:38.416087,15.0,5.0,7.0,20.0,8.0,11.0,10.0,5.0
2025-06-20T17:01:39.416930,15.0,5.0,7.0,19.0,6.0,8.0,8.0,6.0
