timestamp,smoother_server,bt_navigator,map_server,amcl,controller_server,planner_server,behavior_server,velocity_smoother
2025-06-18T16:11:26.956540,8.0,11.0,5.0,9.0,11.0,10.0,10.0,6.0
2025-06-18T16:11:27.957062,7.0,14.0,5.0,8.0,14.0,12.0,10.0,6.0
2025-06-18T16:11:28.959376,8.0,19.0,6.0,8.0,22.0,9.0,10.0,5.0
2025-06-18T16:11:29.961750,7.0,19.0,6.0,7.0,21.0,11.0,9.0,6.0
2025-06-18T16:11:30.962728,7.0,19.0,4.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:11:31.963452,7.0,19.0,5.0,8.0,21.0,10.0,10.0,6.0
2025-06-18T16:11:32.966177,8.0,18.0,6.0,8.0,21.9,11.0,8.0,6.0
2025-06-18T16:11:33.967966,7.0,18.0,5.0,8.0,21.0,10.0,10.0,6.0
2025-06-18T16:11:34.970635,8.0,18.0,5.0,8.0,21.0,10.0,10.0,6.0
2025-06-18T16:11:35.973201,7.0,17.0,6.0,8.0,20.9,10.0,8.0,6.0
2025-06-18T16:11:36.973759,6.0,18.0,4.0,8.0,20.9,10.0,10.0,6.0
2025-06-18T16:11:37.977181,8.0,18.0,6.0,7.0,22.0,10.0,10.0,6.0
2025-06-18T16:11:38.979799,8.0,18.0,5.0,8.0,22.0,10.0,9.0,6.0
2025-06-18T16:11:39.982088,7.0,17.9,5.0,9.0,21.9,10.0,10.0,6.0
2025-06-18T16:11:40.983922,8.0,18.0,6.0,8.0,21.0,11.0,9.0,5.0
2025-06-18T16:11:41.985111,7.0,18.0,5.0,8.0,22.0,9.0,9.0,7.0
2025-06-18T16:11:42.985771,7.0,18.0,5.0,7.0,22.0,11.0,10.0,6.0
2025-06-18T16:11:43.986293,8.0,18.0,5.0,9.0,22.0,10.0,10.0,5.0
2025-06-18T16:11:44.986827,7.0,18.0,6.0,9.0,21.0,10.0,9.0,6.0
2025-06-18T16:11:45.989923,7.0,18.0,5.0,7.0,20.9,11.0,9.0,6.0
2025-06-18T16:11:46.992521,7.0,18.0,5.0,8.0,21.9,9.0,9.0,6.0
2025-06-18T16:11:47.994374,8.0,17.0,6.0,9.0,21.0,10.0,9.0,6.0
2025-06-18T16:11:48.996731,8.0,19.0,4.0,7.0,21.9,11.0,9.0,6.0
2025-06-18T16:11:49.997461,7.0,17.0,6.0,8.0,22.0,10.0,10.0,5.0
2025-06-18T16:11:51.000396,7.0,17.9,5.0,9.0,20.9,10.0,9.0,6.0
2025-06-18T16:11:52.001963,7.0,17.0,6.0,8.0,21.0,10.0,9.0,7.0
2025-06-18T16:11:53.005563,8.0,17.9,5.0,8.0,21.9,9.9,9.9,6.0
2025-06-18T16:11:54.008871,7.0,17.9,5.0,8.0,22.0,10.0,9.0,5.0
2025-06-18T16:11:55.009559,7.0,18.0,4.0,8.0,21.0,11.0,9.0,5.0
2025-06-18T16:11:56.012220,8.0,18.0,6.0,8.0,20.9,10.0,10.0,7.0
2025-06-18T16:11:57.014257,7.0,18.0,6.0,9.0,21.0,11.0,9.0,5.0
2025-06-18T16:11:58.015052,7.0,17.0,4.0,8.0,21.0,9.0,10.0,6.0
2025-06-18T16:11:59.016426,7.0,17.0,6.0,7.0,21.0,11.0,9.0,6.0
2025-06-18T16:12:00.017506,8.0,19.0,5.0,9.0,21.0,10.0,9.0,7.0
2025-06-18T16:12:01.018086,7.0,17.0,6.0,8.0,22.0,10.0,9.0,5.0
2025-06-18T16:12:02.018634,8.0,18.0,5.0,9.0,20.9,10.0,9.0,6.0
2025-06-18T16:12:03.023389,7.0,17.9,5.0,7.0,20.9,10.0,10.0,7.0
2025-06-18T16:12:04.023979,7.0,17.0,6.0,10.0,22.0,11.0,9.0,5.0
2025-06-18T16:12:05.024470,8.0,18.0,5.0,7.0,21.0,10.0,10.0,6.0
2025-06-18T16:12:06.026707,6.0,17.0,5.0,8.0,22.0,11.0,9.0,6.0
2025-06-18T16:12:07.027919,8.0,18.0,5.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:12:08.029111,7.0,18.0,5.0,8.0,22.0,9.0,9.0,6.0
2025-06-18T16:12:09.030036,8.0,17.0,5.0,9.0,21.0,10.0,10.0,6.0
2025-06-18T16:12:10.031193,6.0,17.0,5.0,7.0,21.0,10.0,9.0,5.0
2025-06-18T16:12:11.031914,8.0,18.0,6.0,8.0,21.0,11.0,9.0,6.0
2025-06-18T16:12:12.033026,7.0,18.0,6.0,8.0,22.0,9.0,9.0,6.0
2025-06-18T16:12:13.033639,7.0,17.0,5.0,8.0,22.0,11.0,10.0,6.0
2025-06-18T16:12:14.034299,8.0,18.0,4.0,9.0,22.0,10.0,10.0,6.0
2025-06-18T16:12:15.034752,7.0,17.0,6.0,7.0,21.0,10.0,9.0,5.0
2025-06-18T16:12:16.035392,7.0,17.0,5.0,8.0,21.0,10.0,9.0,7.0
2025-06-18T16:12:17.036184,8.0,18.0,5.0,9.0,21.0,10.0,9.0,5.0
2025-06-18T16:12:18.036920,7.0,17.0,6.0,8.0,22.0,10.0,10.0,6.0
2025-06-18T16:12:19.037376,7.0,18.0,5.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:12:20.038063,8.0,18.0,5.0,8.0,21.0,11.0,9.0,6.0
2025-06-18T16:12:21.039194,8.0,18.0,5.0,7.0,22.0,11.0,10.0,6.0
2025-06-18T16:12:22.039747,7.0,17.0,5.0,9.0,21.0,9.0,9.0,6.0
2025-06-18T16:12:23.040780,7.0,17.0,6.0,9.0,22.0,11.0,10.0,6.0
2025-06-18T16:12:24.042313,7.0,18.0,5.0,8.0,20.0,10.0,8.0,6.0
2025-06-18T16:12:25.044135,7.0,17.0,5.0,8.0,22.0,10.0,10.0,6.0
2025-06-18T16:12:26.044654,8.0,19.0,6.0,7.0,22.0,10.0,9.0,5.0
2025-06-18T16:12:27.047131,7.0,16.0,5.0,9.0,21.9,10.0,10.0,6.0
2025-06-18T16:12:28.048396,7.0,19.0,5.0,7.0,21.0,11.0,9.0,6.0
2025-06-18T16:12:29.050221,7.0,17.0,6.0,9.0,21.0,10.0,9.0,6.0
2025-06-18T16:12:30.050760,8.0,18.0,5.0,8.0,21.0,11.0,10.0,6.0
2025-06-18T16:12:31.052204,8.0,17.0,5.0,8.0,23.0,9.0,10.0,6.0
2025-06-18T16:12:32.055612,7.0,17.9,6.0,8.0,19.9,10.0,9.0,5.0
2025-06-18T16:12:33.056475,7.0,18.0,4.0,8.0,22.0,11.0,9.0,6.0
2025-06-18T16:12:34.058266,7.0,18.0,6.0,8.0,21.0,11.0,10.0,6.0
2025-06-18T16:12:35.058810,8.0,17.0,5.0,8.0,22.0,9.0,9.0,6.0
2025-06-18T16:12:36.059379,7.0,18.0,5.0,8.0,21.0,10.0,8.0,6.0
2025-06-18T16:12:37.061259,7.0,16.0,6.0,8.0,21.0,11.0,10.0,6.0
2025-06-18T16:12:38.061770,7.0,17.0,5.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:12:39.063080,7.0,19.0,5.0,8.0,22.0,10.0,10.0,6.0
2025-06-18T16:12:40.063834,8.0,17.0,5.0,8.0,21.0,9.0,9.0,6.0
2025-06-18T16:12:41.064427,8.0,17.0,5.0,9.0,22.0,11.0,9.0,6.0
2025-06-18T16:12:42.067905,7.0,16.9,6.0,7.0,19.9,10.0,11.0,6.0
2025-06-18T16:12:43.068528,7.0,18.0,5.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:12:44.070976,7.0,18.0,5.0,9.0,22.9,10.0,9.0,6.0
2025-06-18T16:12:45.071961,7.0,16.0,5.0,8.0,21.0,10.0,9.0,5.0
2025-06-18T16:12:46.072577,8.0,18.0,6.0,8.0,22.0,11.0,9.0,6.0
2025-06-18T16:12:47.073100,8.0,18.0,5.0,9.0,22.0,11.0,10.0,6.0
2025-06-18T16:12:48.073785,7.0,17.0,5.0,7.0,21.0,9.0,10.0,6.0
2025-06-18T16:12:49.074622,6.0,17.0,5.0,8.0,20.0,10.0,8.0,6.0
2025-06-18T16:12:50.075767,7.0,17.0,5.0,8.0,20.9,9.0,8.0,6.0
2025-06-18T16:12:51.078843,7.0,16.9,6.0,8.0,21.0,10.0,9.0,4.0
2025-06-18T16:12:52.079554,7.0,18.0,4.0,8.0,23.0,11.0,10.0,6.0
2025-06-18T16:12:53.081362,7.0,17.0,5.0,8.0,21.0,9.0,9.0,6.0
2025-06-18T16:12:54.081961,7.0,17.0,6.0,7.0,21.0,10.0,8.0,7.0
2025-06-18T16:12:55.082867,8.0,18.0,5.0,10.0,22.0,10.0,10.0,5.0
2025-06-18T16:12:56.083567,7.0,17.0,6.0,8.0,22.0,10.0,9.0,6.0
2025-06-18T16:12:57.084172,8.0,18.0,4.0,8.0,22.0,11.0,10.0,7.0
2025-06-18T16:12:58.084826,7.0,18.0,5.0,8.0,21.0,11.0,9.0,5.0
2025-06-18T16:12:59.085829,8.0,17.0,6.0,8.0,23.0,9.0,10.0,7.0
2025-06-18T16:13:00.086658,7.0,16.0,5.0,8.0,20.0,11.0,10.0,5.0
