timestamp,amcl,map_server,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-06T16:13:24.480629,8.0,5.0,19.0,7.0,11.0,10.0,17.0,5.0
2025-06-06T16:13:25.482880,7.0,4.0,18.0,8.0,9.0,9.0,16.0,6.0
2025-06-06T16:13:26.485907,8.0,5.0,17.9,6.0,10.0,10.0,16.9,5.0
2025-06-06T16:13:27.487232,9.0,6.0,18.0,8.0,10.0,8.0,17.9,6.0
2025-06-06T16:13:28.493361,7.0,5.0,17.9,6.0,9.9,9.0,16.0,6.0
2025-06-06T16:13:29.493874,7.0,5.0,18.0,7.0,9.0,8.0,17.0,6.0
2025-06-06T16:13:30.495766,8.0,5.0,18.0,7.0,10.0,10.0,16.0,5.0
2025-06-06T16:13:31.496428,7.0,4.0,17.0,6.0,9.0,8.0,17.0,6.0
2025-06-06T16:13:32.497345,8.0,6.0,18.0,7.0,10.0,9.0,17.0,5.0
2025-06-06T16:13:33.498745,8.0,5.0,19.0,7.0,10.0,10.0,17.0,6.0
2025-06-06T16:13:34.499201,8.0,5.0,18.0,7.0,11.0,9.0,17.0,6.0
2025-06-06T16:13:35.499620,8.0,5.0,18.0,7.0,9.0,10.0,16.0,5.0
2025-06-06T16:13:36.501532,8.0,5.0,19.0,7.0,12.0,9.0,17.9,7.0
2025-06-06T16:13:37.503217,8.0,6.0,18.0,7.0,9.0,9.0,16.0,5.0
2025-06-06T16:13:38.503760,8.0,4.0,19.0,7.0,10.0,10.0,16.0,6.0
2025-06-06T16:13:39.504397,8.0,6.0,18.0,8.0,10.0,9.0,18.0,6.0
2025-06-06T16:13:40.504861,8.0,4.0,17.0,7.0,11.0,10.0,16.0,5.0
2025-06-06T16:13:41.505696,8.0,6.0,19.0,6.0,10.0,9.0,17.0,7.0
2025-06-06T16:13:42.506271,9.0,6.0,18.0,8.0,10.0,9.0,18.0,5.0
2025-06-06T16:13:43.507268,8.0,4.0,18.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:13:44.508970,7.0,5.0,18.0,7.0,10.0,10.0,16.0,5.0
2025-06-06T16:13:45.509584,9.0,5.0,19.0,7.0,10.0,9.0,17.0,7.0
2025-06-06T16:13:46.511657,7.0,5.0,18.0,7.0,10.0,9.0,18.0,5.0
2025-06-06T16:13:47.512709,9.0,6.0,19.0,7.0,11.0,10.0,16.0,6.0
2025-06-06T16:13:48.513687,8.0,5.0,18.0,8.0,10.0,9.0,17.0,6.0
2025-06-06T16:13:49.514973,8.0,5.0,18.0,6.0,10.0,10.0,16.0,5.0
2025-06-06T16:13:50.515624,8.0,6.0,19.0,8.0,10.0,9.0,18.0,6.0
2025-06-06T16:13:51.516529,7.0,5.0,17.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:13:52.517087,9.0,4.0,18.0,7.0,10.0,10.0,17.0,5.0
2025-06-06T16:13:53.519391,8.0,5.0,19.0,7.0,11.0,9.0,17.0,7.0
2025-06-06T16:13:54.521726,9.0,7.0,18.0,7.0,10.0,9.0,18.0,5.0
2025-06-06T16:13:55.522512,7.0,4.0,19.0,7.0,9.0,10.0,16.0,6.0
2025-06-06T16:13:56.523781,8.0,5.0,18.0,7.0,10.0,9.0,17.0,6.0
2025-06-06T16:13:57.525624,8.0,5.0,19.0,7.0,11.0,9.0,17.0,6.0
2025-06-06T16:13:58.526666,8.0,6.0,18.0,7.0,9.0,10.0,16.0,5.0
2025-06-06T16:13:59.529162,8.0,5.0,18.0,7.0,11.0,9.0,17.0,6.0
2025-06-06T16:14:00.530237,8.0,5.0,19.0,8.0,10.0,9.0,17.0,6.0
2025-06-06T16:14:01.530745,8.0,5.0,18.0,7.0,10.0,10.0,17.0,6.0
2025-06-06T16:14:02.532117,8.0,5.0,19.0,6.0,11.0,9.0,17.0,6.0
2025-06-06T16:14:03.532761,7.0,6.0,17.0,8.0,10.0,10.0,17.0,5.0
2025-06-06T16:14:04.533735,8.0,4.0,18.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:14:05.536013,8.0,5.0,19.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:14:06.536708,9.0,6.0,18.0,7.0,11.0,9.0,17.0,6.0
2025-06-06T16:14:07.540651,8.0,5.0,18.9,7.0,9.0,9.0,16.9,5.0
2025-06-06T16:14:08.541228,8.0,5.0,17.0,7.0,10.0,10.0,16.0,6.0
2025-06-06T16:14:09.541920,8.0,5.0,19.0,7.0,11.0,9.0,17.0,6.0
2025-06-06T16:14:10.542445,7.0,5.0,19.0,8.0,10.0,10.0,16.0,5.0
2025-06-06T16:14:11.545156,9.0,5.0,17.9,6.0,10.0,9.0,17.0,6.0
2025-06-06T16:14:12.545850,8.0,6.0,18.0,8.0,11.0,9.0,17.0,6.0
2025-06-06T16:14:13.546569,8.0,5.0,19.0,8.0,10.0,10.0,17.0,6.0
2025-06-06T16:14:14.547969,7.0,4.0,18.0,6.0,10.0,9.0,17.0,5.0
2025-06-06T16:14:15.550473,10.0,6.0,18.0,8.0,11.0,10.0,16.0,6.0
2025-06-06T16:14:16.552058,7.0,5.0,18.0,6.0,9.0,9.0,17.0,6.0
2025-06-06T16:14:17.553722,7.0,6.0,19.0,8.0,10.0,9.0,17.0,6.0
2025-06-06T16:14:18.554197,9.0,4.0,19.0,7.0,10.0,10.0,17.0,6.0
2025-06-06T16:14:19.555133,8.0,5.0,17.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:14:20.555728,8.0,5.0,19.0,7.0,10.0,9.0,17.0,5.0
2025-06-06T16:14:21.556381,8.0,6.0,18.0,7.0,11.0,10.0,16.0,6.0
2025-06-06T16:14:22.558943,8.0,4.0,18.0,7.0,10.0,9.0,17.0,6.0
2025-06-06T16:14:23.559699,8.0,6.0,18.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:14:24.561648,8.0,5.0,19.0,7.0,10.0,9.0,17.0,5.0
2025-06-06T16:14:25.565141,8.0,5.0,17.9,7.0,9.0,10.0,15.9,6.0
2025-06-06T16:14:26.565611,8.0,5.0,19.0,7.0,11.0,9.0,16.0,6.0
2025-06-06T16:14:27.567143,9.0,6.0,18.0,7.0,10.0,10.0,17.0,6.0
2025-06-06T16:14:28.567809,7.0,5.0,19.0,7.0,10.0,9.0,16.0,5.0
2025-06-06T16:14:29.568368,8.0,4.0,18.0,7.0,10.0,10.0,17.0,6.0
2025-06-06T16:14:30.568891,8.0,6.0,18.0,7.0,10.0,8.0,17.0,6.0
2025-06-06T16:14:31.569571,8.0,5.0,18.0,8.0,10.0,10.0,16.0,6.0
2025-06-06T16:14:32.572687,8.0,5.0,19.0,6.0,11.0,9.0,16.0,6.0
2025-06-06T16:14:33.573629,8.0,5.0,18.0,8.0,10.0,10.0,17.0,6.0
2025-06-06T16:14:34.574213,8.0,5.0,17.0,7.0,9.0,9.0,16.0,5.0
