timestamp,smoother_server,map_server,amcl,controller_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-18T02:07:29.091301,7.0,5.0,7.0,11.0,10.0,10.0,17.0,5.0
2025-06-18T02:07:30.091816,6.0,5.0,8.0,10.0,10.0,9.0,17.0,6.0
2025-06-18T02:07:31.092340,8.0,5.0,8.0,11.0,10.0,9.0,16.0,6.0
2025-06-18T02:07:32.092837,8.0,5.0,8.0,11.0,10.0,9.0,17.0,5.0
2025-06-18T02:07:33.093363,7.0,5.0,8.0,11.0,10.0,10.0,18.0,6.0
2025-06-18T02:07:34.093773,7.0,6.0,8.0,12.0,10.0,9.0,16.0,5.0
2025-06-18T02:07:35.094354,7.0,4.0,9.0,10.0,11.0,9.0,17.0,6.0
2025-06-18T02:07:36.096542,6.0,5.0,7.0,11.0,9.0,9.0,16.0,6.0
2025-06-18T02:07:37.097453,8.0,6.0,8.0,11.0,9.0,9.0,17.0,5.0
2025-06-18T02:07:38.098636,7.0,5.0,7.0,11.0,10.0,9.0,17.0,6.0
2025-06-18T02:07:39.101705,7.0,5.0,9.0,11.0,11.0,10.0,15.9,6.0
2025-06-18T02:07:40.103765,8.0,5.0,8.0,10.0,9.0,9.0,17.0,6.0
2025-06-18T02:07:41.106020,6.0,6.0,8.0,12.0,11.0,8.0,17.0,5.0
2025-06-18T02:07:42.107498,8.0,4.0,8.0,11.0,9.0,10.0,17.0,6.0
2025-06-18T02:07:43.108277,7.0,5.0,8.0,11.0,11.0,9.0,17.0,5.0
2025-06-18T02:07:44.108926,7.0,5.0,8.0,11.0,9.0,9.0,16.0,5.0
2025-06-18T02:07:45.110130,7.0,6.0,8.0,10.0,10.0,9.0,17.0,6.0
2025-06-18T02:07:46.111093,7.0,5.0,8.0,12.0,10.0,10.0,17.0,6.0
2025-06-18T02:07:47.113031,7.0,5.0,8.0,10.0,10.0,9.0,16.0,5.0
2025-06-18T02:07:48.114790,8.0,5.0,8.0,11.0,10.0,9.0,17.0,6.0
2025-06-18T02:07:49.117978,7.0,5.0,9.0,11.0,10.0,9.0,16.0,6.0
2025-06-18T02:07:50.118464,7.0,5.0,8.0,11.0,10.0,9.0,17.0,5.0
2025-06-18T02:07:51.119411,7.0,5.0,8.0,10.0,10.0,9.0,16.0,6.0
2025-06-18T02:07:52.120121,8.0,5.0,9.0,11.0,9.0,10.0,17.0,6.0
2025-06-18T02:07:53.120573,6.0,5.0,8.0,12.0,10.0,8.0,17.0,5.0
2025-06-18T02:07:54.121025,7.0,5.0,8.0,10.0,10.0,10.0,17.0,5.0
2025-06-18T02:07:55.121685,8.0,5.0,9.0,12.0,10.0,9.0,17.0,6.0
2025-06-18T02:07:56.122179,7.0,5.0,7.0,11.0,11.0,10.0,17.0,6.0
2025-06-18T02:07:57.124883,7.0,5.0,9.0,11.0,10.0,8.0,16.9,6.0
2025-06-18T02:07:58.126216,8.0,6.0,8.0,10.0,9.0,10.0,16.0,5.0
2025-06-18T02:07:59.126656,7.0,5.0,7.0,12.0,11.0,9.0,17.0,6.0
2025-06-18T02:08:00.127205,7.0,4.0,9.0,11.0,10.0,9.0,17.0,5.0
2025-06-18T02:08:01.127760,8.0,6.0,8.0,11.0,10.0,10.0,17.0,6.0
2025-06-18T02:08:02.128351,7.0,4.0,8.0,11.0,10.0,9.0,16.0,6.0
2025-06-18T02:08:03.132320,7.0,6.0,8.0,11.0,10.0,9.0,16.9,6.0
2025-06-18T02:08:04.132890,8.0,5.0,8.0,11.0,10.0,10.0,17.0,6.0
2025-06-18T02:08:05.133731,7.0,6.0,8.0,11.0,10.0,9.0,16.0,5.0
2025-06-18T02:08:06.134481,7.0,4.0,9.0,11.0,10.0,8.0,17.0,5.0
2025-06-18T02:08:07.135292,7.0,6.0,7.0,10.0,10.0,10.0,16.0,6.0
2025-06-18T02:08:08.136061,8.0,5.0,8.0,11.0,10.0,9.0,17.0,5.0
2025-06-18T02:08:09.137400,7.0,4.0,8.0,11.0,11.0,10.0,16.0,6.0
2025-06-18T02:08:10.137957,7.0,6.0,9.0,11.0,9.0,9.0,16.0,6.0
2025-06-18T02:08:11.138562,7.0,5.0,7.0,11.0,10.0,9.0,17.0,5.0
2025-06-18T02:08:12.139166,6.0,5.0,8.0,12.0,10.0,9.0,17.0,6.0
2025-06-18T02:08:13.139830,8.0,5.0,9.0,11.0,11.0,9.0,17.0,6.0
2025-06-18T02:08:14.141536,8.0,5.0,8.0,11.0,10.0,10.0,16.9,6.0
2025-06-18T02:08:15.143735,6.0,5.0,9.0,11.0,9.0,9.0,16.0,5.0
2025-06-18T02:08:16.146321,8.0,6.0,7.0,10.0,9.0,10.0,16.0,6.0
2025-06-18T02:08:17.147951,7.0,4.0,8.0,11.0,11.0,9.0,17.0,6.0
2025-06-18T02:08:18.148557,7.0,5.0,8.0,11.0,9.0,8.0,17.0,5.0
2025-06-18T02:08:19.151632,7.0,5.0,8.0,11.0,11.0,10.0,16.0,6.0
2025-06-18T02:08:20.152288,8.0,5.0,8.0,11.0,9.0,9.0,16.0,5.0
2025-06-18T02:08:21.152980,7.0,5.0,8.0,11.0,10.0,9.0,17.0,6.0
2025-06-18T02:08:22.154098,7.0,6.0,8.0,12.0,10.0,9.0,16.0,6.0
2025-06-18T02:08:23.154670,6.0,5.0,7.0,10.0,11.0,9.0,17.0,5.0
2025-06-18T02:08:24.155860,7.0,5.0,9.0,11.0,9.0,10.0,16.0,5.0
2025-06-18T02:08:25.158820,8.0,5.0,8.0,12.0,11.0,9.0,17.9,7.0
2025-06-18T02:08:26.159354,7.0,5.0,8.0,10.0,10.0,9.0,15.0,5.0
2025-06-18T02:08:27.159944,7.0,5.0,8.0,11.0,10.0,9.0,17.0,5.0
2025-06-18T02:08:28.164779,8.0,6.0,8.0,11.0,10.0,10.0,15.9,6.0
2025-06-18T02:08:29.166030,7.0,4.0,9.0,11.0,9.0,8.0,17.0,6.0
2025-06-18T02:08:30.167319,7.0,5.0,7.0,10.0,11.0,10.0,16.0,6.0
2025-06-18T02:08:31.168211,7.0,5.0,8.0,12.0,9.0,9.0,17.0,6.0
2025-06-18T02:08:32.170717,7.0,5.0,9.0,10.0,11.0,9.0,16.0,4.0
2025-06-18T02:08:33.172067,7.0,5.0,7.0,12.0,10.0,10.0,17.0,7.0
2025-06-18T02:08:34.172545,7.0,6.0,9.0,11.0,9.0,8.0,16.0,5.0
2025-06-18T02:08:35.173032,7.0,4.0,8.0,11.0,11.0,10.0,16.0,5.0
2025-06-18T02:08:36.174708,7.0,5.0,7.0,10.0,9.0,9.0,16.0,6.0
2025-06-18T02:08:37.176338,7.0,6.0,7.0,10.0,9.0,7.0,17.0,6.0
2025-06-18T02:08:38.178157,6.0,4.0,8.0,10.0,9.0,10.0,16.0,5.0
2025-06-18T02:08:39.179692,7.0,5.0,7.0,11.0,10.0,8.0,16.0,5.0
2025-06-18T02:08:40.180339,8.0,5.0,9.0,12.0,10.0,10.0,16.0,7.0
2025-06-18T02:08:41.180922,7.0,6.0,7.0,11.0,10.0,9.0,16.0,4.0
2025-06-18T02:08:42.182104,7.0,4.0,9.0,10.0,10.0,9.0,17.0,6.0
2025-06-18T02:08:43.182744,8.0,6.0,8.0,11.0,9.0,9.0,16.0,6.0
2025-06-18T02:08:44.183303,6.0,5.0,8.0,11.0,11.0,9.0,16.0,6.0
2025-06-18T02:08:45.183943,8.0,5.0,8.0,11.0,10.0,9.0,17.0,6.0
2025-06-18T02:08:46.184388,7.0,5.0,8.0,10.0,10.0,10.0,16.0,6.0
2025-06-18T02:08:47.184907,8.0,5.0,9.0,12.0,9.0,9.0,16.0,4.0
2025-06-18T02:08:48.186416,7.0,5.0,8.0,11.0,11.0,9.0,17.0,7.0
2025-06-18T02:08:49.187526,7.0,6.0,7.0,11.0,9.0,10.0,16.0,5.0
2025-06-18T02:08:50.188359,7.0,5.0,9.0,10.0,10.0,9.0,16.0,6.0
2025-06-18T02:08:51.189751,7.0,5.0,7.0,12.0,11.0,9.0,16.0,5.0
2025-06-18T02:08:52.191211,8.0,5.0,9.0,10.0,10.0,9.0,17.0,6.0
2025-06-18T02:08:53.192951,6.0,5.0,8.0,12.0,10.0,9.0,16.0,6.0
2025-06-18T02:08:54.194274,8.0,5.0,9.0,10.0,9.0,10.0,16.0,5.0
2025-06-18T02:08:55.195535,7.0,6.0,8.0,12.0,11.0,9.0,17.0,6.0
2025-06-18T02:08:56.196146,7.0,5.0,8.0,10.0,10.0,8.0,16.0,6.0
2025-06-18T02:08:57.197354,7.0,4.0,7.0,11.0,9.0,10.0,17.0,6.0
2025-06-18T02:08:58.199135,8.0,6.0,9.0,11.0,10.0,9.0,16.0,5.0
2025-06-18T02:08:59.199569,7.0,5.0,7.0,11.0,10.0,9.0,16.0,5.0
2025-06-18T02:09:00.200514,6.0,4.0,8.0,11.0,10.0,9.0,16.0,6.0
2025-06-18T02:09:01.202272,8.0,6.0,9.0,11.0,10.0,9.0,17.0,6.0
2025-06-18T02:09:02.202990,7.0,5.0,7.0,10.0,10.0,9.0,15.0,5.0
2025-06-18T02:09:03.204549,7.0,5.0,8.0,12.0,10.0,9.0,17.0,6.0
2025-06-18T02:09:04.206117,7.0,5.0,9.0,10.0,10.0,9.0,16.0,5.0
2025-06-18T02:09:05.206583,8.0,5.0,8.0,12.0,9.0,10.0,15.0,6.0
2025-06-18T02:09:06.207232,7.0,5.0,8.0,10.0,11.0,8.0,17.0,6.0
